condition,rt_reject,choice,session
3,0.436799999999948,0,2
6,NaN,1,2
4,NaN,1,2
6,NaN,1,2
4,NaN,1,2
4,NaN,1,2
1,NaN,1,2
2,0.531783333330168,0,2
4,NaN,1,2
3,0.432800000000043,0,2
3,0.456766666669864,0,2
7,NaN,1,2
7,NaN,1,2
2,0.482783333334964,0,2
3,0.436799999999948,0,2
1,NaN,1,2
8,NaN,1,2
5,NaN,1,2
8,NaN,1,2
9,NaN,1,2
5,NaN,1,2
2,0.398783333334904,0,2
2,0.671783333329813,0,2
5,NaN,1,2
6,0.473783333330175,0,2
8,NaN,1,2
9,NaN,1,2
3,0.376800000000003,0,2
5,NaN,1,2
3,0.639750000005051,0,2
7,NaN,1,2
9,NaN,1,2
2,0.473783333335177,0,2
9,NaN,1,2
4,2.5324999999998,0,2
7,NaN,1,2
7,NaN,1,2
2,0.431783333335034,0,2
3,0.385800000000017,0,2
3,0.443783333330202,0,2
9,NaN,1,2
2,0.40678333332994,0,2
5,NaN,1,2
3,0.36483333334013,0,2
6,0.921733333339944,0,2
5,2.34351666666976,0,2
4,NaN,1,2
1,NaN,1,2
6,0.463799999999992,0,2
9,NaN,1,2
6,0.47578333333513,0,2
7,NaN,1,2
2,0.423800000000028,0,2
2,0.396799999999985,0,2
7,NaN,1,2
9,NaN,1,2
6,0.402799999999843,0,2
4,3.42838333332998,0,2
2,0.569783333335181,0,2
8,NaN,1,2
7,2.56648333333533,0,2
1,NaN,1,2
8,NaN,1,2
1,NaN,1,2
8,3.42536666667002,0,2
8,NaN,1,2
6,0.408800000000156,0,2
8,NaN,1,2
2,0.426816666664763,0,2
8,NaN,1,2
5,NaN,1,2
5,NaN,1,2
3,0.391799999999876,0,2
3,0.360816666664959,0,2
5,NaN,1,2
9,NaN,1,2
4,NaN,1,2
5,NaN,1,2
3,0.459800000000087,0,2
1,NaN,1,2
4,NaN,1,2
9,NaN,1,2
7,NaN,1,2
4,NaN,1,2
1,NaN,1,2
9,NaN,1,2
6,0.479799999999614,0,2
7,NaN,1,2
5,NaN,1,2
1,NaN,1,2
6,0.498799999999846,0,2
9,NaN,1,2
8,NaN,1,2
2,1.46166666666022,0,2
1,NaN,1,2
3,0.502766666669686,0,2
9,NaN,1,2
7,3.34836666666979,0,2
6,0.442766666659736,0,2
6,0.441766666670446,0,2
2,0.341816666664727,0,2
2,0.422800000000279,0,2
8,NaN,1,2
4,NaN,1,2
3,0.40480000000025,0,2
5,NaN,1,2
5,2.19153333332997,0,2
1,NaN,1,2
7,NaN,1,2
4,NaN,1,2
1,NaN,1,2
8,NaN,1,2
9,NaN,1,2
3,0.396799999999985,0,2
4,NaN,1,2
1,NaN,1,2
7,NaN,1,2
3,0.412800000000061,0,2
6,0.780733333329863,0,2
2,0.464800000000196,0,2
7,NaN,1,2
8,NaN,1,2
2,0.409799999999905,0,2
7,NaN,1,2
1,0.446800000000167,0,2
1,NaN,1,2
5,NaN,1,2
3,0.339799999999741,0,2
9,NaN,1,2
4,NaN,1,2
7,NaN,1,2
5,NaN,1,2
6,0.456800000000385,0,2
8,NaN,1,2
9,NaN,1,2
6,0.464800000000196,0,2
5,NaN,1,2
7,NaN,1,2
5,NaN,1,2
1,NaN,1,2
3,0.596766666670192,0,2
2,0.451783333334788,0,2
1,NaN,1,2
5,NaN,1,2
1,NaN,1,2
6,0.504766666670093,0,2
4,NaN,1,2
3,0.497783333335065,0,2
9,NaN,1,2
3,0.414783333334981,0,2
5,NaN,1,2
7,NaN,1,2
9,NaN,1,2
7,NaN,1,2
4,NaN,1,2
9,NaN,1,2
9,NaN,1,2
8,NaN,1,2
4,NaN,1,2
9,NaN,1,2
9,NaN,1,2
6,0.445783333329928,0,2
3,0.50178333333497,0,2
3,0.487766666670268,0,2
9,NaN,1,2
8,NaN,1,2
2,0.438816666669936,0,2
1,NaN,1,2
2,0.509766666669748,0,2
5,NaN,1,2
2,0.385800000000017,0,2
1,NaN,1,2
4,NaN,1,2
4,NaN,1,2
7,NaN,1,2
8,NaN,1,2
2,0.422783333335246,0,2
2,0.410800000000108,0,2
4,NaN,1,2
8,NaN,1,2
8,NaN,1,2
4,NaN,1,2
6,0.440783333335276,0,2
8,2.88744999999517,0,2
3,0.433783333334759,0,2
6,0.450783333335039,0,2
7,NaN,1,2
5,NaN,1,2
4,NaN,1,2
1,NaN,1,2
2,0.541783333329931,0,2
8,NaN,1,2
3,0.397800000000188,0,2
6,0.443799999999555,0,2
5,NaN,1,2
6,0.397816666665221,0,2
3,0.433783333330211,0,2
7,NaN,1,2
3,0.377816666664785,0,2
4,NaN,1,2
3,0.400783333335312,0,2
1,NaN,1,2
8,NaN,1,2
1,NaN,1,2
7,NaN,1,2
9,NaN,1,2
3,0.390800000000127,0,2
2,0.496783333329859,0,2
1,NaN,1,2
2,0.432816666665076,0,2
9,NaN,1,2
9,NaN,1,2
2,0.471783333335225,0,2
1,NaN,1,2
4,NaN,1,2
8,NaN,1,2
7,NaN,1,2
2,0.411816666670347,0,2
4,NaN,1,2
9,NaN,1,2
2,0.350799999999708,0,2
7,NaN,1,2
8,NaN,1,2
4,NaN,1,2
5,NaN,1,2
7,NaN,1,2
8,NaN,1,2
2,0.391766666664807,0,2
2,0.518749999999727,0,2
8,2.69043333333002,0,2
3,0.40278333333481,0,2
1,NaN,1,2
9,NaN,1,2
1,NaN,1,2
6,NaN,1,2
3,0.670766666669806,0,2
8,NaN,1,2
4,NaN,1,2
2,0.405783333334512,0,2
3,0.433800000000247,0,2
4,NaN,1,2
5,NaN,1,2
6,0.421766666665008,0,2
6,0.419799999999668,0,2
6,0.36776666666492,0,2
3,0.400766666669824,0,2
1,NaN,1,2
2,0.381799999999657,0,2
9,NaN,1,2
8,NaN,1,2
4,NaN,1,2
6,0.42176666667001,0,2
7,NaN,1,2
6,0.40678333333517,0,2
4,NaN,1,2
1,NaN,1,2
6,0.54373333333524,0,2
5,NaN,1,2
5,NaN,1,2
1,NaN,1,2
9,NaN,1,2
7,NaN,1,2
9,NaN,1,2
8,NaN,1,2
5,NaN,1,2
5,NaN,1,2
5,NaN,1,2
6,0.536733333334723,0,2
6,0.4497666666648,0,2
9,2.88839999999982,0,2
4,NaN,1,2
7,NaN,1,2
5,NaN,1,2
7,NaN,1,2
5,NaN,1,2
3,0.414766666669948,0,2
8,NaN,1,2
4,NaN,1,2
6,0.503750000000309,0,2
9,0.387766666664902,0,2
4,NaN,1,2
2,0.474799999999959,0,2
